<TICKER>,<PER>,<DATE>,<TIME>,<LAST>,<VOL>
HPQ,0,20121115,124715,13.01000,100
HPQ,0,20121115,124715,13.01000,200
HPQ,0,20121115,124715,13.01000,200
HPQ,0,20121115,124715,13.01000,100
HPQ,0,20121115,124715,13.01000,100
HPQ,0,20121115,124715,13.01000,100
HPQ,0,20121115,124715,13.01000,200
HPQ,0,20121115,124715,13.01000,100
HPQ,0,20121115,124715,13.01000,100
HPQ,0,20121115,124715,13.01000,100
HPQ,0,20121115,124715,13.01000,100
HPQ,0,20121115,124715,13.01000,200
HPQ,0,20121115,124715,13.01000,300
HPQ,0,20121115,124715,13.01000,200
HPQ,0,20121115,124715,13.01000,900
HPQ,0,20121115,124715,13.01000,194
HPQ,0,20121115,124748,13.01000,100
HPQ,0,20121115,124748,13.01000,100
HPQ,0,20121115,124748,13.01000,700
HPQ,0,20121115,124748,13.01000,1100
HPQ,0,20121115,124748,13.01000,200
HPQ,0,20121115,124748,13.01000,400
HPQ,0,20121115,124843,13.02000,231
HPQ,0,20121115,124950,13.02000,269
HPQ,0,20121115,124950,13.02000,100
HPQ,0,20121115,124950,13.02000,100
HPQ,0,20121115,124950,13.02000,200
HPQ,0,20121115,124950,13.02000,300
HPQ,0,20121115,124950,13.02000,100
HPQ,0,20121115,124950,13.02000,800
HPQ,0,20121115,124950,13.02000,300
HPQ,0,20121115,124950,13.02000,200
HPQ,0,20121115,124950,13.02000,800
HPQ,0,20121115,124950,13.02000,600
HPQ,0,20121115,124950,13.02000,300
HPQ,0,20121115,125020,13.02000,800
HPQ,0,20121115,125020,13.02000,100
HPQ,0,20121115,125020,13.02000,100
HPQ,0,20121115,125020,13.02000,100
HPQ,0,20121115,125020,13.02000,200
HPQ,0,20121115,125020,13.02000,300
HPQ,0,20121115,125020,13.02000,200
HPQ,0,20121115,125143,13.01000,100
HPQ,0,20121115,125209,13.01000,200
HPQ,0,20121115,125209,13.01000,100
HPQ,0,20121115,125209,13.01000,200
HPQ,0,20121115,125209,13.01000,100
HPQ,0,20121115,125209,13.01000,100
HPQ,0,20121115,125209,13.01000,200
HPQ,0,20121115,125209,13.01000,100
HPQ,0,20121115,125249,13.00500,100
HPQ,0,20121115,125311,13.00500,100
HPQ,0,20121115,125311,13.00500,100
HPQ,0,20121115,125335,13.00000,200
HPQ,0,20121115,125335,13.00000,300
HPQ,0,20121115,125335,13.00000,500
HPQ,0,20121115,125335,13.00000,800
HPQ,0,20121115,125335,13.00000,100
HPQ,0,20121115,125335,13.00000,100
HPQ,0,20121115,125335,13.00000,100
HPQ,0,20121115,125335,13.00000,200
HPQ,0,20121115,125335,13.00000,100
HPQ,0,20121115,125335,13.00000,200
HPQ,0,20121115,125335,13.00000,100
HPQ,0,20121115,125335,13.00000,200
HPQ,0,20121115,125335,13.00000,700
HPQ,0,20121115,125335,13.00000,300
HPQ,0,20121115,125335,13.00000,200
HPQ,0,20121115,125335,13.00000,200
HPQ,0,20121115,125335,12.99000,300
HPQ,0,20121115,125336,12.99000,100
HPQ,0,20121115,125352,12.99000,100
HPQ,0,20121115,125406,12.99000,200
HPQ,0,20121115,125407,12.99000,100
HPQ,0,20121115,125407,12.99000,200
HPQ,0,20121115,125415,12.98500,100
HPQ,0,20121115,125415,12.99000,800
HPQ,0,20121115,125415,12.99000,700
